Submission Date,Your Submission Identifier,NCAA Division,OPTIONAL: Position Title,Up 3 Fouling Input,Up 3:   a,Up 3:  b,Up 3:   c,Up 3:   d,Down 3:   a,Down 3:   b,Down 3:   c,Down 3:   d,Down 2:   a,Down 2:   b,Down 2:   c,Down 2:   d,Down 1:   a,Down 1:   b,Down 1:   c,Down 1:   d
"Aug 16, 2022",rtbLpeJ83TNGL:NN&%[zG?i5ji(*)Av-,3,Video Coordinator,Never,"[0,0]","[0,0]","[0,0]","[0,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 16, 2022","lOojJYhXSupdJf7ZjdcY{dD&Z"".*E|.q",3,Assistant Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 16, 2022","{Oa)Zf5miO?}hbq~(SAYh{Ne:#j,Cz.}",3,Head Coach,5,"[0,0]","[5,5]","[0,0]","[5,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 16, 2022",>@$ZM0`J-(UrC^:6]RRlgH:#?c%fjt{N,3,,6,"[0,0]","[6,6]","[0,0]","[6,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 16, 2022",g-P5WxZlm<GJEf<n{Yzg:O9On[~OOzd?,3,Asst coach,5,"[0,0]","[5,5]","[0,0]","[5,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]"
"Aug 16, 2022","D>hz5C2LI3<_UxegD?3V0DEyE?,n.L&8",3,Head Coach,4,"[0,0]","[4,4]","[0,0]","[4,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 16, 2022",{w~|gGr3PD_rLSnoNr8zTFLG$iYdK5*>,3,Head Coach,6,"[0,0]","[6,6]","[0,0]","[6,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[25,25]","[0,0]","[25,0]","[0,0]","[20,20]","[0,0]","[20,0]"
"Aug 16, 2022",g&MrnN2?dHG)A/V<BB|J-`-s$7Gia{U|,3,Head Coach,2,"[0,0]","[2,2]","[0,0]","[2,0]","[0,0]","[35,30]","[30,30]","[35,0]","[0,0]","[35,30]","[30,30]","[35,0]","[0,0]","[20,20]","[0,0]","[20,0]"
"Aug 16, 2022","f|5,/LSxuhe]x4|]R*weK,K`L)]SmXAU",3,,5-6 seconds,"[0,0]","[6,6]","[0,0]","[6,0]","[0,0]","[35,30]","[30,30]","[35,0]","[0,0]","[35,30]","[30,30]","[35,0]","[0,0]","[35,30]","[30,30]","[35,0]"
"Aug 16, 2022",/Oh3U>/*2q(JiBBaTlDK~v(x/3]QGUk`,3,Associate Head Coach,13,"[0,0]","[13,13]","[0,0]","[13,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 15, 2022",b0UzSEa@50_D!2{Y`0%e<xXJb|Sr|#Jx,3,Student Assistant,12,"[0,0]","[12,12]","[0,0]","[12,0]","[0,0]","[37,30]","[30,30]","[37,0]","[0,0]","[37,30]","[30,30]","[37,0]","[0,0]","[37,30]","[30,30]","[37,0]"
"Aug 15, 2022",|@#Q{6@>t83v/r4D}@b$90l&h@A]gB<d,3,Head Mens Basketball Coach,Play it out,"[0,0]","[0,0]","[0,0]","[0,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 15, 2022",%5}@H`i[S>Kp^NV1}0@_ywP|lCv}ge-8,3,Assistant Coach,0,"[0,0]","[0,0]","[0,0]","[0,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 15, 2022",|g0=$*/fGEOEWPe`6{XFnI4KQ^DMH_T/,3,,5 or less seconds,"[0,0]","[5,5]","[0,0]","[5,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 12, 2022","^&^U]d)IQ;0.5|""gWvrbLcBves*@OlgX",3,Sports Information Director,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 11, 2022",R.l5Br{LK46aToqkM>qCG'kP`S$3b>X^,3,Head Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 11, 2022","yhFtM)Eu-Uq)ySu[XHd'k/<7mVGeg,^}",3,Associate Head Coach,8,"[0,0]","[8,8]","[0,0]","[8,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]","[0,0]","[30,30]","[0,0]","[30,0]"
"Aug 9, 2022","i-7z]d<h,xpt=)7N$G.qI5)b=A|ih0O'",3,Head Coach,under 5,"[0,0]","[5,5]","[0,0]","[5,0]","[5,5]","[35,30]","[30,30]","[35,5]","[10,10]","[30,30]","[30,30]","[30,10]","[0,0]","[10,10]","[0,0]","[10,0]"
"Aug 9, 2022",Y}>0T{B<%fQ|Xh?~*w;KpfF!DC;/Y'-W,3,Head Coach,Under 8,"[0,0]","[8,8]","[0,0]","[8,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[40,30]","[30,30]","[40,0]","[0,0]","[35,30]","[30,30]","[35,0]"
"Aug 8, 2022","{!;#6't,""JbkI{q@!A|||DkbA^>30p;d",3,Head Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 8, 2022",:!Gh8Vp'<-Oq]]3Cv#Fd?q/pa{y!untZ,3,Assistant Coach,5,"[0,0]","[5,5]","[0,0]","[5,0]","[15,8]","[35,30]","[30,30]","[35,8]","[20,10]","[30,30]","[35,15]","[35,30]","[25,15]","[25,25]","[25,15]","[15,15]"
"Aug 8, 2022",P[z!h7v&]X%)$z*$Hgjg7O}lXgRRWI{8,3,Head Coach,~5,"[0,0]","[5,5]","[0,0]","[5,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 8, 2022",[BkV.9`gHc1=|*/~|8a}rL-l.0@tW=3S,3,,9,"[0,0]","[9,9]","[0,0]","[9,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 7, 2022",yc5`]~2fhL$^%h}Qzjcmby|i!HnSzm]2,3,Assistant Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[5,0]","[40,30]","[35,30]","[40,0]","[0,0]","[20,20]","[0,0]","[20,0]","[0,0]","[7,7]","[0,0]","[7,0]"
"Aug 7, 2022",N(qhCOo6NEWHJE|75zBOkuXDi_dE5/-Z,3,Asst coach,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 7, 2022","""Xg&y-si%?d}mp#blL)d^JN(p~y'sn5L",3,Assistant Coach,7,"[0,0]","[7,7]","[0,0]","[7,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 7, 2022","ZbD%R~OqWf)(1g;""F>25RYzr;)G)QD?F",3,Head coach,6,"[0,0]","[6,6]","[0,0]","[6,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 6, 2022","'_9"".TUH^wQZDL""KE;/1^6ct.yFepoFl",3,Head Coach,4,"[0,0]","[4,4]","[0,0]","[4,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 6, 2022",wM0m?/@zw)D%7t2OLXk]tD~k)CA4wXfy,3,Head Coach,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[30,30]","[35,30]","[5,0]","[0,0]","[30,30]","[30,20]","[5,0]","[0,0]","[30,30]","[40,30]","[10,0]"
"Aug 6, 2022",9@P>^:?^&:DSgQa^[.4a!mu=|-gLY@D|,3,Head Coach,Not at all,"[0,0]","[0,0]","[0,0]","[0,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
"Aug 6, 2022",/@.YmN{_*tTV@I60eDo2!<m6@:|su4*0,3,,8,"[0,0]","[8,8]","[0,0]","[8,0]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]","[-1,-1]"
